item_id,label,worker_id,annotation_id,split
acl11164,0,CAgNlUizNm,6,train
acl11186,0,E3dsmnSPob,28,train
acl11191,0,E3dsmnSPob,33,train
acl11194,0,TrRF46JWfP,36,train
acl11196,0,CAgNlUizNm,38,train
acl11207,1,TrRF46JWfP,49,train
acl11210,0,LqLKTtrOmx,52,train
acl11225,0,E3dsmnSPob,65,train
acl11234,0,vDe7GN0NrL,73,train
acl11239,0,GNZuCtwed3,77,train
acl11246,0,QiOKkCi7F8,84,train
acl11248,0,TbUBpfn6iP,86,train
acl11252,0,vDe7GN0NrL,90,train
acl11253,0,CAgNlUizNm,91,train
acl11263,0,QiOKkCi7F8,101,train
acl11266,0,E3dsmnSPob,104,train
acl11268,0,E3dsmnSPob,106,train
acl11277,0,eLGzdD8Tvb,115,train
acl11279,0,E3dsmnSPob,117,train
acl11281,0,QiOKkCi7F8,119,train
acl11295,0,GNZuCtwed3,132,train
acl11298,0,QiOKkCi7F8,134,train
acl11302,0,TbUBpfn6iP,138,train
acl11306,0,TbUBpfn6iP,142,train
acl11308,0,vDe7GN0NrL,144,train
acl11310,0,TbUBpfn6iP,146,train
acl11314,0,CAgNlUizNm,148,train
acl11316,0,CAgNlUizNm,150,train
acl11317,0,GNZuCtwed3,151,train
acl11330,0,TrRF46JWfP,160,train
acl11332,0,CAgNlUizNm,162,train
acl11335,1,CAgNlUizNm,165,train
acl11343,0,TrRF46JWfP,169,train
acl11349,1,QiOKkCi7F8,175,train
acl11353,0,CAgNlUizNm,179,train
acl11373,0,GNZuCtwed3,199,train
acl11376,0,GNZuCtwed3,202,train
acl11378,0,QiOKkCi7F8,204,train
acl11379,0,E3dsmnSPob,205,train
acl11389,1,CAgNlUizNm,213,train
acl11391,0,E3dsmnSPob,215,train
acl11395,0,E3dsmnSPob,219,train
acl11408,0,TrRF46JWfP,232,train
acl11422,0,GNZuCtwed3,244,train
acl11425,0,CAgNlUizNm,247,train
acl11427,0,TbUBpfn6iP,249,train
acl11432,0,GNZuCtwed3,254,train
acl11433,1,QiOKkCi7F8,255,train
acl11436,0,GNZuCtwed3,258,train
acl11443,0,GNZuCtwed3,262,train
acl11447,0,GNZuCtwed3,266,train
acl11448,1,vDe7GN0NrL,267,train
acl11454,0,E3dsmnSPob,273,train
acl11465,0,GNZuCtwed3,284,train
acl11472,0,QiOKkCi7F8,291,train
acl11480,0,eLGzdD8Tvb,299,train
acl11485,0,GNZuCtwed3,304,train
acl11501,0,GNZuCtwed3,316,train
acl11507,0,vDe7GN0NrL,320,train
acl11508,0,GNZuCtwed3,321,train
acl11516,0,CAgNlUizNm,328,train
acl11522,0,GNZuCtwed3,334,train
acl11530,0,vDe7GN0NrL,342,train
acl11534,0,QiOKkCi7F8,346,train
acl11549,0,LqLKTtrOmx,361,train
acl11559,0,E3dsmnSPob,369,train
acl11568,0,TrRF46JWfP,378,train
acl11599,0,QiOKkCi7F8,408,train
acl11600,0,E3dsmnSPob,409,train
acl11602,1,CAgNlUizNm,411,train
acl11605,0,E3dsmnSPob,414,train
acl11610,0,QiOKkCi7F8,419,train
acl11616,0,TrRF46JWfP,423,train
acl11617,1,LqLKTtrOmx,424,train
acl11618,0,E3dsmnSPob,425,train
acl11619,0,GNZuCtwed3,426,train
acl11623,0,E3dsmnSPob,430,train
acl11625,0,GNZuCtwed3,432,train
acl11646,0,GNZuCtwed3,452,train
acl11667,0,TrRF46JWfP,473,train
acl11687,0,eLGzdD8Tvb,488,train
acl11689,0,LqLKTtrOmx,490,train
acl11696,0,LqLKTtrOmx,495,train
acl11702,1,TrRF46JWfP,501,train
acl11705,0,LqLKTtrOmx,504,train
acl11711,0,GNZuCtwed3,510,train
acl11716,0,GNZuCtwed3,515,train
acl11719,0,E3dsmnSPob,517,train
acl11726,0,GNZuCtwed3,524,train
acl11728,0,TrRF46JWfP,526,train
acl11731,0,LqLKTtrOmx,529,train
acl11734,0,GNZuCtwed3,532,train
acl11736,0,eLGzdD8Tvb,534,train
acl11747,0,LqLKTtrOmx,545,train
acl11750,0,GNZuCtwed3,548,train
acl11758,0,TbUBpfn6iP,556,train
acl11760,0,GNZuCtwed3,558,train
acl11763,0,CAgNlUizNm,561,train
acl11773,0,vDe7GN0NrL,571,train
