item_id,label,worker_id,annotation_id,split
acl11158,0,3,0,train
acl11159,1,2,1,train
acl11160,0,2,2,train
acl11161,1,2,3,train
acl11162,0,4,4,train
acl11163,1,2,5,train
acl11164,0,1,6,train
acl11165,1,1,7,train
acl11166,0,7,8,train
acl11167,1,1,9,train
acl11168,0,3,10,train
acl11169,0,9,11,train
acl11170,1,1,12,train
acl11171,1,3,13,train
acl11172,0,5,14,train
acl11173,0,6,15,train
acl11174,0,9,16,train
acl11175,1,1,17,train
acl11176,1,1,18,train
acl11177,1,2,19,train
acl11178,0,9,20,train
acl11179,1,2,21,train
acl11180,0,8,22,train
acl11181,1,2,23,train
acl11182,0,3,24,train
acl11183,0,9,25,train
acl11184,1,4,26,train
acl11185,0,1,27,train
acl11186,0,9,28,train
acl11187,1,7,29,train
acl11188,0,9,30,train
acl11189,1,8,31,train
acl11190,1,6,32,train
acl11191,0,9,33,train
acl11192,1,7,34,train
acl11193,1,1,35,train
acl11194,0,2,36,train
acl11195,1,2,37,train
acl11196,0,1,38,train
acl11197,1,1,39,train
acl11198,0,6,40,train
acl11199,1,1,41,train
acl11200,0,9,42,train
acl11201,1,1,43,train
acl11202,0,1,44,train
acl11203,0,9,45,train
acl11204,1,6,46,train
acl11205,1,1,47,train
acl11206,0,8,48,train
acl11207,1,2,49,train
acl11208,0,9,50,train
acl11209,1,1,51,train
acl11210,0,4,52,train
acl11211,1,2,53,train
acl11212,0,2,54,train
acl11213,1,1,55,train
acl11214,0,9,56,train
acl11215,1,2,57,train
acl11216,0,2,58,train
acl11219,1,1,59,train
acl11220,1,2,60,train
acl11221,0,5,61,train
acl11222,1,1,62,train
acl11223,1,2,63,train
acl11224,0,2,64,train
acl11225,0,9,65,train
acl11226,1,2,66,train
acl11227,0,5,67,train
acl11228,1,2,68,train
acl11229,1,2,69,train
acl11231,0,6,70,train
acl11232,0,8,71,train
acl11233,1,1,72,train
acl11234,0,8,73,train
acl11235,1,2,74,train
acl11236,0,6,75,train
acl11238,1,1,76,train
acl11239,0,3,77,train
acl11240,1,1,78,train
acl11241,1,1,79,train
acl11242,0,2,80,train
acl11243,1,2,81,train
acl11244,0,4,82,train
acl11245,1,1,83,train
acl11246,0,7,84,train
acl11247,1,1,85,train
acl11248,0,5,86,train
acl11249,1,1,87,train
acl11250,0,5,88,train
acl11251,1,1,89,train
acl11252,0,8,90,train
acl11253,0,1,91,train
acl11254,1,1,92,train
acl11255,0,1,93,train
acl11256,0,9,94,train
acl11257,1,3,95,train
acl11258,1,2,96,train
acl11259,0,1,97,train
acl11260,0,9,98,train
acl11261,1,5,99,train
acl11262,1,2,100,train
acl11263,0,7,101,train
acl11264,1,2,102,train
acl11265,0,5,103,train
acl11266,0,9,104,train
acl11267,1,1,105,train
acl11268,0,9,106,train
acl11269,0,9,107,train
acl11270,1,5,108,train
acl11271,1,1,109,train
acl11272,0,2,110,train
acl11273,1,3,111,train
acl11274,0,1,112,train
acl11275,0,4,113,train
acl11276,1,2,114,train
acl11277,0,6,115,train
acl11278,1,3,116,train
acl11279,0,9,117,train
acl11280,1,4,118,train
acl11281,0,7,119,train
acl11282,1,1,120,train
acl11283,0,9,121,train
acl11284,1,8,122,train
acl11286,1,1,123,train
acl11287,0,7,124,train
acl11288,1,2,125,train
acl11289,0,1,126,train
acl11290,1,2,127,train
acl11291,1,1,128,train
acl11292,0,2,129,train
acl11293,1,3,130,train
acl11294,1,1,131,train
acl11295,0,3,132,train
acl11297,1,1,133,train
acl11298,0,7,134,train
acl11299,1,1,135,train
acl11300,0,2,136,train
acl11301,1,2,137,train
acl11302,0,5,138,train
acl11303,1,2,139,train
acl11304,0,6,140,train
acl11305,1,2,141,train
acl11306,0,5,142,train
acl11307,1,3,143,train
acl11308,0,8,144,train
acl11309,1,2,145,train
acl11310,0,5,146,train
acl11313,1,1,147,train
acl11314,0,1,148,train
acl11315,1,2,149,train
acl11316,0,1,150,train
acl11317,0,3,151,train
acl11318,1,3,152,train
acl11321,1,1,153,train
acl11322,0,5,154,train
acl11323,0,9,155,train
acl11324,1,2,156,train
acl11325,1,1,157,train
acl11326,0,5,158,train
acl11329,1,1,159,train
acl11330,0,2,160,train
acl11331,1,1,161,train
acl11332,0,1,162,train
acl11333,1,1,163,train
acl11334,0,2,164,train
acl11335,1,1,165,train
acl11336,1,1,166,train
acl11337,0,2,167,train
acl11342,1,2,168,train
acl11343,0,2,169,train
acl11344,0,3,170,train
