item_id,worker_id,label,annotation_id,split
exoxn7,3,0,0,train
exoxn7,6,0,1,train
exoxn7,4,1,2,train
fgb3bdv,3,0,3,train
fgb3bdv,6,0,4,train
fgb3bdv,4,0,5,train
fgc6tlu,3,0,6,test
fgc6tlu,6,0,7,test
fgc6tlu,4,0,8,test
fge6msg,6,0,9,test
fge6msg,4,0,10,test
fge6msg,3,0,11,test
fgawus5,4,1,12,train
fgawus5,3,1,13,train
fgawus5,6,0,14,train
fgctirr,4,0,15,train
fgctirr,3,0,16,train
fgctirr,6,0,17,train
fgdomwf,4,0,18,train
fgdomwf,6,0,19,train
fgdomwf,3,0,20,train
fgbwoi5,6,0,21,train
fgbwoi5,4,0,22,train
fgbwoi5,3,0,23,train
fgbxtc0,6,0,24,train
fgbxtc0,4,0,25,train
fgbxtc0,3,0,26,train
fgdmluh,4,0,27,test
fgdmluh,3,0,28,test
fgdmluh,6,0,29,test
fgdog3k,3,0,30,train
fgdog3k,6,0,31,train
fgdog3k,4,0,32,train
fgdqj28,3,0,33,train
fgdqj28,6,0,34,train
fgdqj28,4,0,35,train
fgdowdc,6,0,36,train
fgdowdc,4,1,37,train
fgdowdc,3,0,38,train
fgay2nh,4,0,39,train
fgay2nh,3,0,40,train
fgay2nh,6,0,41,train
fgdy0kw,4,0,42,train
fgdy0kw,3,0,43,train
fgdy0kw,6,0,44,train
fgj8sxn,3,0,45,test
fgj8sxn,6,0,46,test
fgj8sxn,4,0,47,test
exuuxj,6,0,48,train
exuuxj,4,1,49,train
exuuxj,3,0,50,train
fgcul27,6,0,51,test
fgcul27,4,1,52,test
fgcul27,3,0,53,test
fgekj7r,6,0,54,test
fgekj7r,3,0,55,test
fgekj7r,4,0,56,test
fgdiizx,3,0,57,train
fgdiizx,4,0,58,train
fgdiizx,6,0,59,train
fgdov7x,3,0,60,train
fgdov7x,6,0,61,train
fgdov7x,4,0,62,train
fgdqaq4,4,0,63,train
fgdqaq4,3,0,64,train
fgdqaq4,6,0,65,train
fgcuv1a,3,0,66,train
fgcuv1a,4,0,67,train
fgcuv1a,6,0,68,train
fgjr7uc,6,0,69,test
fgjr7uc,3,0,70,test
fgjr7uc,4,1,71,test
fgdx6wj,4,1,72,test
fgdx6wj,6,0,73,test
